x,y,id,ip,model
7.41448218,43.7294738,node_0,192.168.160.22,../../models/model1.csv
7.41571047,43.7340442,node_1,192.168.160.23,../../models/model2.csv
7.42922166,43.7386146,node_2,192.168.160.24,../../models/model1.csv
7.41693876,43.7386146,node_3,192.168.160.25,../../models/model2.csv
7.40097099,43.7249034,node_4,192.168.160.26,../../models/model1.csv
7.43044995,43.7431850,node_5,192.168.160.27,../../models/model2.csv
7.38868809,43.7249034,node_6,192.168.160.28,../../models/model2.csv
7.39974270,43.7203330,node_7,192.168.160.29,../../models/model1.csv
7.38745980,43.7203330,node_8,192.168.160.30,../../models/model1.csv
7.41325389,43.7249034,node_9,192.168.160.31,../../models/model2.csv
