x,y,id,ip,model
7.5029,43.7866,node_0,192.168.160.22,../../models/model1.csv
7.5103,43.7793,node_1,192.168.160.23,../../models/model2.csv
7.5103,43.7702,node_2,192.168.160.24,../../models/model1.csv
7.5029,43.7628,node_3,192.168.160.25,../../models/model2.csv
7.4909,43.7600,node_4,192.168.160.26,../../models/model1.csv
7.4789,43.7628,node_5,192.168.160.27,../../models/model2.csv
7.4715,43.7702,node_6,192.168.160.28,../../models/model2.csv
7.4715,43.7793,node_7,192.168.160.29,../../models/model1.csv
7.4789,43.7866,node_8,192.168.160.30,../../models/model1.csv
7.4909,43.7894,node_9,192.168.160.31,../../models/model2.csv
