x,y,id,ip,model
7.4249555,43.7390477,node_0,192.168.160.22,../../models/model1.csv
7.4255975,43.7404571,node_1,192.168.160.23,../../models/model2.csv
7.4210977,43.7340961,node_2,192.168.160.24,../../models/model1.csv
7.4215658,43.7369755,node_3,192.168.160.25,../../models/model2.csv
7.4252295,43.7412274,node_4,192.168.160.26,../../models/model1.csv
7.4156718,43.7333278,node_5,192.168.160.27,../../models/model2.csv
7.4218584,43.7368342,node_6,192.168.160.28,../../models/model2.csv
7.4233858,43.7388336,node_7,192.168.160.29,../../models/model1.csv
7.4210788,43.7370048,node_8,192.168.160.30,../../models/model1.csv
7.4258904,43.7387625,node_9,192.168.160.31,../../models/model2.csv
7.4246683,43.7405677,node_10,192.168.160.32,../../models/model2.csv
7.4303017,43.7412944,node_11,192.168.160.33,../../models/model1.csv
7.4251924,43.7420530,node_12,192.168.160.34,../../models/model2.csv
7.4172739,43.7353237,node_13,192.168.160.35,../../models/model1.csv
7.4182425,43.7362777,node_14,192.168.160.36,../../models/model1.csv
7.4253183,43.7413138,node_15,192.168.160.37,../../models/model2.csv
7.4271892,43.7420812,node_16,192.168.160.38,../../models/model2.csv
7.4229879,43.7395509,node_17,192.168.160.39,../../models/model1.csv
7.4255921,43.7404536,node_18,192.168.160.40,../../models/model2.csv
7.4247541,43.7404666,node_19,192.168.160.41,../../models/model2.csv
