x,y,id,ip,model
7.4209555,43.7370477,node_0,192.168.160.22,../../models/model1.csv
7.4255975,43.7404571,node_1,192.168.160.23,../../models/model2.csv
7.4200977,43.7340961,node_2,192.168.160.24,../../models/model1.csv
7.4215658,43.7389755,node_3,192.168.160.25,../../models/model2.csv
7.4252295,43.7412274,node_4,192.168.160.26,../../models/model1.csv
7.4156718,43.7333278,node_5,192.168.160.27,../../models/model2.csv
7.4268584,43.7438342,node_6,192.168.160.28,../../models/model2.csv
7.4233858,43.7408336,node_7,192.168.160.29,../../models/model1.csv
7.4220788,43.7370048,node_8,192.168.160.30,../../models/model1.csv
7.4258904,43.7387625,node_9,192.168.160.31,../../models/model2.csv
